Keyword,Intent,Volume,Trend,"Keyword Difficulty","CPC (USD)","Number of Results"
"does hubspot crm scale with business growth",,110,"1.00,1.00",0,0,0
"hubspot crm scalability with business growth",,110,"0.00,1.00",0,0,0
"vonazon hubspot revops growth strategy",,90,1.00,0,0,0
"growth driven design hubspot","Informational, Transactional",70,"0.23,0.19,0.19,0.42,0.42,0.52,0.42,0.33,0.33,0.14,0.19,0.23",8,0,105
"hubspot growth suite",Informational,70,"0.05,0.06,0.05,0.06,0.08,0.03,0.03,0.03,0.04,0.10,0.08,0.03",37,0,4030000
"growth suite onboarding hubspot",Informational,40,"0.33,0.77,0.33,0.77,1.00,0.44,0.11,0.00,0.77,0.77,0.55,0.77",5,0,136
"hubspot growth suite onboarding",Informational,40,"0.27,0.63,0.45,0.63,1.00,0.36,0.18,0.00,0.45,0.45,0.45,0.45",21,0,393000
"growth hub hubspot",,30,"0.40,0.80,0.40,0.80,1.00,0.40,0.00,0.40,0.40,0.80,0.60,0.40",0,0,0
"hubspot crm scalability or scale with business growth",,30,"0.25,1.00",0,0,0
"hubspot growth",,30,"0.17,0.11,0.17,0.11,0.11,0.64,0.17,0.11,0.17,0.17,0.11,0.17",0,23.89,0
"hubspot growth strategy",,30,"0.14,0.14,0.14,0.28,0.21,0.14,0.14,0.14,0.14,0.21,0.21,0.28",0,0,0
"hubspot sales hub pipeline revenue growth success stories",,30,"0.28,1.00,0.57,0.42,0.14,0.42,0.14,0.00",0,0,0
"growth bot hubspot",,20,"0.00,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18,0.18",0,0,0
"growth gabby hubspot",,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0,0
"growth grader hubspot",,20,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,0,0
"growth marketing hubspot",,20,"0.27,0.18,0.18,0.36,0.27,0.18,0.18,0.18,0.18,0.18,0.18,0.18",0,0,0
"growth specialist hubspot",,20,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,0,0
"growth specialist hubspot salary",,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",0,0,0
"growth stack hubspot",,20,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",0,0,0
